,Records,Labels
287,he had unto isaac but unto son of concubin which abraham had abraham gave gift sent them away from isaac his son while he yet live eastward unto east countri and these are day of year of abraham s life which he live hundr threescor fifteen year then abraham gave up ghost die in good old age old man full of year was gather his peopl and his son isaac ishmael buri him in cave of machpelah in field of ephron son of zohar hittit which befor mamr the field which abraham purchas of son of heth there was abraham buri sarah his wife and came pass after death of abraham god bless his son isaac isaac dwelt by well lahairoi now these are generat of ishmael abraham s son whom hagar egyptian sarah s handmaid bare unto abraham and these are name of son of ishmael by their name,bible-kjv
288,accord their generat firstborn of ishmael nebajoth kedar adbeel mibsam and mishma dumah massa hadar tema jetur naphish kedemah these are son of ishmael these are their name by their town by their castl twelv princ accord their nation and these are year of life of ishmael hundr thirti seven year he gave up ghost die was gather unto his peopl and they dwelt from havilah unto shur befor egypt as thou goest toward assyria he die in presenc of all his brethren and these are generat of isaac abraham s son abraham begat isaac and isaac was forti year old when he took rebekah wife daughter of bethuel syrian of padanaram sister laban syrian and isaac intreat lord for his wife becaus she was barren lord was intreat of him rebekah his wife conceiv and children struggl togeth within her she said if be so whi am i thus,bible-kjv
289,and she went enquir of lord and lord said unto her two nation are in thi womb two manner of peopl shall be separ from thi bowel one peopl shall be stronger than other peopl elder shall serv younger and when her day be deliv were fulfil behold there were twin in her womb and first came out red all over like hairi garment they call his name esau and after came his brother out his hand took hold on esau s heel his name was call jacob isaac was threescor year old when she bare them and boy grew esau was cun hunter man of field jacob was plain man dwell in tent and isaac love esau becaus he did eat of his venison but rebekah love jacob and jacob sod pottag esau came from field he was faint and esau said jacob feed me i pray thee with,bible-kjv
290,same red pottag for i am faint therefor was his name call edom and jacob said sell me day thi birthright and esau said behold i am at point die what profit shall birthright do me and jacob said swear me day he sware unto him he sold his birthright unto jacob then jacob gave esau bread pottag of lentil he did eat drink rose up went his way thus esau despis his birthright and there was famin in land besid first famin was in day of abraham and isaac went unto abimelech king of philistin unto gerar and lord appear unto him said go not down into egypt dwell in land which i shall tell thee of sojourn in land i will be with thee will bless thee for unto thee unto thi seed i will give all these countri i will perform oath which i sware unto abraham,bible-kjv
291,thi father and i will make thi seed multipli as star of heaven will give unto thi seed all these countri in thi seed shall all nation of earth be bless becaus abraham obey my voic kept my charg my command my statut my law and isaac dwelt in gerar and men of place ask him of his wife he said she my sister for he fear say she my wife lest said he men of place should kill me for rebekah becaus she was fair look upon and came pass when he had been there long time abimelech king of philistin look out at window saw behold isaac was sport with rebekah his wife and abimelech call isaac said behold of sureti she thi wife how saidst thou she my sister and isaac said unto him becaus i said lest i die for her and abimelech said what thou,bible-kjv
292,hast done unto us one of peopl might light have lien with thi wife thou shouldest have brought guilti upon us and abimelech charg all his peopl say he toucheth man or his wife shall sure be put death then isaac sow in land receiv in same year hundredfold lord bless him and man wax great went forward grew until he becam veri great for he had possess of flock possess of herd great store of servant philistin envi him for all well which his father s servant had dig in day of abraham his father philistin had stop them fill them with earth and abimelech said unto isaac go from us for thou art much mightier than we and isaac depart thenc pitch his tent in valley of gerar dwelt there and isaac dig again well of water which they had dig in day of abraham his father for,bible-kjv
293,philistin had stop them after death of abraham he call their name after name by which his father had call them and isaac s servant dig in valley found there well of spring water and herdmen of gerar did strive with isaac s herdmen say the water our he call name of well esek becaus they strove with him and they dig anoth well strove for also he call name of sitnah and he remov from thenc dig anoth well for they strove not he call name of rehoboth he said for now lord hath made room for us we shall be fruit in land and he went up from thenc beersheba and lord appear unto him same night said i am god of abraham thi father fear not for i am with thee will bless thee multipli thi seed for my servant abraham s sake and he build altar,bible-kjv
294,there call upon name of lord pitch his tent there there isaac s servant dig well then abimelech went him from gerar ahuzzath one of his friend phichol chief captain of his armi and isaac said unto them wherefor come ye me see ye hate me have sent me away from you and they said we saw certain lord was with thee we said let there be now oath betwixt us even betwixt us thee let us make coven with thee that thou wilt do us no hurt as we have not touch thee as we have done unto thee noth but good have sent thee away in peac thou art now bless of lord and he made them feast they did eat drink and they rose up betim in morn sware one anoth isaac sent them away they depart from him in peac and came pass same day isaac,bible-kjv
295,s servant came told him concern well which they had dig said unto him we have found water and he call shebah therefor name of citi beersheba unto day and esau was forti year old when he took wife judith daughter of beeri hittit bashemath daughter of elon hittit which were grief of mind unto isaac rebekah and came pass when isaac was old his eye were dim so he could not see he call esau his eldest son said unto him my son he said unto him behold here am i and he said behold now i am old i know not day of my death now therefor take i pray thee thi weapon thi quiver thi bow go out field take me some venison and make me savouri meat such as i love bring me i may eat my soul may bless thee befor i die and rebekah,bible-kjv
296,heard when isaac spake esau his son and esau went field hunt for venison bring and rebekah spake unto jacob her son say behold i heard thi father speak unto esau thi brother say bring me venison make me savouri meat i may eat bless thee befor lord befor my death now therefor my son obey my voic accord which i command thee go now flock fetch me from thenc two good kid of goat i will make them savouri meat for thi father such as he loveth and thou shalt bring thi father he may eat he may bless thee befor his death and jacob said rebekah his mother behold esau my brother hairi man i am smooth man my father peradventur will feel me i shall seem him as deceiv i shall bring curs upon me not bless and his mother said unto him upon me be thi,bible-kjv
297,curs my son onli obey my voic go fetch me them and he went fetch brought them his mother his mother made savouri meat such as his father love and rebekah took good raiment of her eldest son esau which were with her in hous put them upon jacob her younger son and she put skin of kid of goat upon his hand upon smooth of his neck and she gave savouri meat bread which she had prepar into hand of her son jacob and he came unto his father said my father he said here am i who art thou my son and jacob said unto his father i am esau thi first born i have done accord as thou badest me aris i pray thee sit eat of my venison thi soul may bless me and isaac said unto his son how thou hast found so quick my,bible-kjv
298,son and he said becaus lord thi god brought me and isaac said unto jacob come near i pray thee i may feel thee my son whether thou be my veri son esau or not and jacob went near unto isaac his father he felt him said the voic jacob s voic but hand are hand of esau and he discern him not becaus his hand were hairi as his brother esau s hand so he bless him and he said art thou my veri son esau and he said i am and he said bring near me i will eat of my son s venison my soul may bless thee and he brought near him he did eat he brought him wine he drank and his father isaac said unto him come near now kiss me my son and he came near kiss him he smell smell of his,bible-kjv
299,raiment bless him said see smell of my son as smell of field which lord hath bless therefor god give thee of dew of heaven fat of earth plenti of corn wine let peopl serv thee nation bow down thee be lord over thi brethren let thi mother s son bow down thee curs be everi one curseth thee bless be he blesseth thee and came pass as soon as isaac had made end of bless jacob jacob was yet scarc gone out from presenc of isaac his father esau his brother came in from his hunt and he also had made savouri meat brought unto his father said unto his father let my father aris eat of his son s venison thi soul may bless me and isaac his father said unto him who art thou and he said i am thi son thi firstborn esau and isaac trembl,bible-kjv
300,veri exceed said who where he hath taken venison brought me i have eaten of all befor thou camest have bless him yea he shall be bless and when esau heard word of his father he cri with great exceed bitter cri said unto his father bless me even me also o my father and he said thi brother came with subtilti hath taken away thi bless and he said is not he right name jacob for he hath supplant me these two time he took away my birthright behold now he hath taken away my bless and he said hast thou not reserv bless for me and isaac answer said unto esau behold i have made him thi lord all his brethren have i given him for servant with corn wine have i sustain him what shall i do now unto thee my son and esau said unto his,bible-kjv
301,father hast thou but one bless my father bless me even me also o my father and esau lift up his voic wept and isaac his father answer said unto him behold thi dwell shall be fat of earth of dew of heaven from abov and by thi sword shalt thou live shalt serv thi brother shall come pass when thou shalt have dominion thou shalt break his yoke from off thi neck and esau hate jacob becaus of bless wherewith his father bless him esau said in his heart the day of mourn for my father are at hand then will i slay my brother jacob and these word of esau her elder son were told rebekah she sent call jacob her younger son said unto him behold thi brother esau as touch thee doth comfort himself purpos kill thee now therefor my son obey my voic aris flee,bible-kjv
302,thou laban my brother haran and tarri with him few day until thi brother s furi turn away until thi brother s anger turn away from thee he forget which thou hast done him then i will send fetch thee from thenc whi should i be depriv also of you both in one day and rebekah said isaac i am weari of my life becaus of daughter of heth if jacob take wife of daughter of heth such as these which are of daughter of land what good shall my life do me and isaac call jacob bless him charg him said unto him thou shalt not take wife of daughter of canaan aris go padanaram hous of bethuel thi mother s father take thee wife from thenc of daugher of laban thi mother s brother and god almighti bless thee make thee fruit multipli thee thou mayest be multitud,bible-kjv
303,of peopl and give thee bless of abraham thee thi seed with thee thou mayest inherit land wherein thou art stranger which god gave unto abraham and isaac sent away jacob he went padanaram unto laban son of bethuel syrian brother of rebekah jacob s esau s mother when esau saw isaac had bless jacob sent him away padanaram take him wife from thenc as he bless him he gave him charg say thou shalt not take wife of daugher of canaan and jacob obey his father his mother was gone padanaram and esau see daughter of canaan pleas not isaac his father then went esau unto ishmael took unto wive which he had mahalath daughter of ishmael abraham s son sister of nebajoth be his wife and jacob went out from beersheba went toward haran and he light upon certain place tarri there all night becaus sun was set,bible-kjv
304,he took of stone of place put them for his pillow lay down in place sleep and he dream behold ladder set up on earth top of reach heaven behold angel of god ascend descend on and behold lord stood abov said i am lord god of abraham thi father god of isaac land whereon thou liest thee will i give thi seed and thi seed shall be as dust of earth thou shalt spread abroad west east north south in thee in thi seed shall all famili of earth be bless and behold i am with thee will keep thee in all place whither thou goest will bring thee again into land for i will not leav thee until i have done which i have spoken thee of and jacob awak out of his sleep he said sure lord in place i knew not and he was afraid said,bible-kjv
305,how dread place none other but hous of god gate of heaven and jacob rose up earli in morn took stone he had put for his pillow set up for pillar pour oil upon top of and he call name of place bethel but name of citi was call luz at first and jacob vow vow say if god will be with me will keep me in way i go will give me bread eat raiment put on so i come again my father s hous in peac then shall lord be my god and stone which i have set for pillar shall be god s hous of all thou shalt give me i will sure give tenth unto thee then jacob went on his journey came into land of peopl of east and he look behold well in field lo there were three flock of sheep lie by for,bible-kjv
306,out of well they water flock great stone was upon well s mouth and thither were all flock gather they roll stone from well s mouth water sheep put stone again upon well s mouth in his place and jacob said unto them my brethren whenc be ye and they said of haran are we and he said unto them know ye laban son of nahor and they said we know him and he said unto them is he well and they said he well behold rachel his daughter cometh with sheep and he said lo yet high day neither time cattl should be gather togeth water ye sheep go feed them and they said we cannot until all flock be gather togeth till they roll stone from well s mouth then we water sheep and while he yet spake with them rachel came with her father s sheep for,bible-kjv
307,she kept them and came pass when jacob saw rachel daughter of laban his mother s brother sheep of laban his mother s brother jacob went near roll stone from well s mouth water flock of laban his mother s brother and jacob kiss rachel lift up his voic wept and jacob told rachel he was her father s brother he was rebekah s son she ran told her father and came pass when laban heard tide of jacob his sister s son he ran meet him embrac him kiss him brought him his hous and he told laban all these thing and laban said him sure thou art my bone my flesh and he abod with him space of month and laban said unto jacob becaus thou art my brother shouldest thou therefor serv me for nought tell me what shall thi wage be and laban had two daughter,bible-kjv
308,name of elder was leah name of younger was rachel leah was tender eye but rachel was beauti well favour and jacob love rachel said i will serv thee seven year for rachel thi younger daughter and laban said it better i give her thee than i should give her anoth man abid with me and jacob serv seven year for rachel they seem unto him but few day for love he had her and jacob said unto laban give me my wife for my day are fulfil i may go in unto her and laban gather togeth all men of place made feast and came pass in even he took leah his daughter brought her him he went in unto her and laban gave unto his daughter leah zilpah his maid for handmaid and came pass in morn behold was leah he said laban what thou hast done unto,bible-kjv
309,me did not i serv with thee for rachel wherefor then hast thou beguil me and laban said it must not be so done in our countri give younger befor firstborn fulfil her week we will give thee also for servic which thou shalt serv with me yet seven other year and jacob did so fulfil her week he gave him rachel his daughter wife also and laban gave rachel his daughter bilhah his handmaid be her maid and he went in also unto rachel he love also rachel more than leah serv with him yet seven other year and when lord saw leah was hate he open her womb but rachel was barren and leah conceiv bare son she call his name reuben for she said sure lord hath look upon my afflict now therefor my husband will love me and she conceiv again bare son said becaus lord,bible-kjv
310,hath heard i was hate he hath therefor given me son also she call his name simeon and she conceiv again bare son said now time will my husband be join unto me becaus i have born him three son therefor was his name call levi and she conceiv again bare son she said now will i prais lord therefor she call his name judah left bear and when rachel saw she bare jacob no children rachel envi her sister said unto jacob give me children or els i die and jacob s anger was kindl against rachel he said am i in god s stead who hath withheld from thee fruit of womb and she said behold my maid bilhah go in unto her she shall bear upon my knee i may also have children by her and she gave him bilhah her handmaid wife jacob went in unto,bible-kjv
311,her and bilhah conceiv bare jacob son and rachel said god hath judg me hath also heard my voic hath given me son therefor call she his name dan and bilhah rachel s maid conceiv again bare jacob second son and rachel said with great wrestl have i wrestl with my sister i have prevail she call his name naphtali when leah saw she had left bear she took zilpah her maid gave her jacob wife and zilpah leah s maid bare jacob son and leah said a troop cometh she call his name gad and zilpah leah s maid bare jacob second son and leah said happi am i for daughter will call me bless she call his name asher and reuben went in day of wheat harvest found mandrak in field brought them unto his mother leah then rachel said leah give me i pray thee of thi,bible-kjv
312,son s mandrak and she said unto her is small matter thou hast taken my husband wouldest thou take away my son s mandrak also and rachel said therefor he shall lie with thee night for thi son s mandrak and jacob came out of field in even leah went out meet him said thou must come in unto me for sure i have hire thee with my son s mandrak and he lay with her night and god hearken unto leah she conceiv bare jacob fifth son and leah said god hath given me my hire becaus i have given my maiden my husband she call his name issachar and leah conceiv again bare jacob sixth son and leah said god hath endu me with good dowri now will my husband dwell with me becaus i have born him six son she call his name zebulun and afterward she,bible-kjv
313,bare daughter call her name dinah and god rememb rachel god hearken her open her womb and she conceiv bare son said god hath taken away my reproach and she call his name joseph said the lord shall add me anoth son and came pass when rachel had born joseph jacob said unto laban send me away i may go unto mine own place my countri give me my wive my children for whom i have serv thee let me go for thou knowest my servic which i have done thee and laban said unto him i pray thee if i have found favour in thine eye tarri for i have learn by experi lord hath bless me for thi sake and he said appoint me thi wage i will give and he said unto him thou knowest how i have serv thee how thi cattl was with me for,bible-kjv
314,was littl which thou hadst befor i came now increas unto multitud lord hath bless thee sinc my come now when shall i provid for mine own hous also and he said what shall i give thee and jacob said thou shalt not give me ani thing if thou wilt do thing for me i will again feed keep thi flock i will pass through all thi flock day remov from thenc all speckl spot cattl all brown cattl among sheep spot speckl among goat of such shall be my hire so shall my righteous answer for me in time come when shall come for my hire befor thi face everi one not speckl spot among goat brown among sheep shall be count stolen with me and laban said behold i would might be accord thi word and he remov day he goat were ringstrak spot all she goat were,bible-kjv
315,speckl spot everi one had some white in all brown among sheep gave them into hand of his son and he set three day journey betwixt himself jacob jacob fed rest of laban s flock and jacob took him rod of green poplar of hazel chesnut tree pill white strake in them made white appear which was in rod and he set rod which he had pill befor flock in gutter in water trough when flock came drink they should conceiv when they came drink and flock conceiv befor rod brought forth cattl ringstrak speckl spot and jacob did separ lamb set face of flock toward ringstrak all brown in flock of laban he put his own flock by themselv put them not unto laban s cattl and came pass whensoev stronger cattl did conceiv jacob laid rod befor eye of cattl in gutter they might conceiv among rod but,bible-kjv
316,when cattl were feebl he put them not in so feebler were laban s stronger jacob s and man increas exceed had much cattl maidserv menserv camel ass and he heard word of laban s son say jacob hath taken away all was our father s of which was our father s hath he gotten all glori and jacob beheld counten of laban behold was not toward him as befor and lord said unto jacob return unto land of thi father thi kindr i will be with thee and jacob sent call rachel leah field unto his flock and said unto them i see your father s counten not toward me as befor but god of my father hath been with me and ye know with all my power i have serv your father and your father hath deceiv me chang my wage ten time but god suffer him not,bible-kjv
317,hurt me if he said thus the speckl shall be thi wage then all cattl bare speckl if he said thus the ringstrak shall be thi hire then bare all cattl ringstrak thus god hath taken away cattl of your father given them me and came pass at time cattl conceiv i lift up mine eye saw in dream behold ram which leap upon cattl were ringstrak speckl grisl and angel of god spake unto me in dream say jacob and i said here am i and he said lift up now thine eye see all ram which leap upon cattl are ringstrak speckl grisl for i have seen all laban doeth unto thee i am god of bethel where thou anointedst pillar where thou vowedst vow unto me now aris get thee out from land return unto land of thi kindr and rachel leah answer said unto him is,bible-kjv
318,there yet ani portion or inherit for us in our father s hous are we not count of him stranger for he hath sold us hath quit devour also our money for all rich which god hath taken from our father our our children s now then whatsoev god hath said unto thee do then jacob rose up set his son his wive upon camel and he carri away all his cattl all his good which he had gotten cattl of his get which he had gotten in padanaram for go isaac his father in land of canaan and laban went shear his sheep rachel had stolen imag were her father s and jacob stole away unawar laban syrian in he told him not he fled so he fled with all he had he rose up pass over river set his face toward mount gilead and was told laban on,bible-kjv
319,third day jacob was fled and he took his brethren with him pursu after him seven day journey they overtook him in mount gilead and god came laban syrian in dream by night said unto him take heed thou speak not jacob either good or bad then laban overtook jacob now jacob had pitch his tent in mount laban with his brethren pitch in mount of gilead and laban said jacob what hast thou done thou hast stolen away unawar me carri away my daughter as captiv taken with sword wherefor didst thou flee away secret steal away from me didst not tell me i might have sent thee away with mirth with song with tabret with harp and hast not suffer me kiss my son my daughter thou hast now done foolish in so do it in power of my hand do you hurt but god of your father,bible-kjv
320,spake unto me yesternight say take thou heed thou speak not jacob either good or bad and now though thou wouldest need be gone becaus thou sore longedst after thi father s hous yet wherefor hast thou stolen my god and jacob answer said laban becaus i was afraid for i said peradventur thou wouldest take by forc thi daughter from me with whomsoev thou findest thi god let him not live befor our brethren discern thou what thine with me take thee for jacob knew not rachel had stolen them and laban went into jacob s tent into leah s tent into two maidserv tent but he found them not then went he out of leah s tent enter into rachel s tent now rachel had taken imag put them in camel s furnitur sat upon them and laban search all tent but found them not and she said,bible-kjv
321,her father let not displeas my lord i cannot rise up befor thee for custom of women upon me and he search but found not imag and jacob was wroth chode with laban jacob answer said laban what my trespass what my sin thou hast so hot pursu after me wherea thou hast search all my stuff what hast thou found of all thi household stuff set here befor my brethren thi brethren they may judg betwixt us both this twenti year have i been with thee thi ewe thi she goat have not cast their young ram of thi flock have i not eaten that which was torn of beast i brought not unto thee i bare loss of of my hand didst thou requir whether stolen by day or stolen by night thus i was in day drought consum me frost by night my sleep depart from mine,bible-kjv
322,eye thus have i been twenti year in thi hous i serv thee fourteen year for thi two daughter six year for thi cattl thou hast chang my wage ten time except god of my father god of abraham fear of isaac had been with me sure thou hadst sent me away now empti god hath seen mine afflict labour of my hand rebuk thee yesternight and laban answer said unto jacob these daughter are my daughter these children are my children these cattl are my cattl all thou seest mine what can i do day unto these my daughter or unto their children which they have born now therefor come thou let us make coven i thou let be for wit between me thee and jacob took stone set up for pillar and jacob said unto his brethren gather stone they took stone made heap they did eat there,bible-kjv
323,upon heap and laban call jegarsahadutha but jacob call gale and laban said this heap wit between me thee day therefor was name of call gale and mizpah for he said the lord watch between me thee when we are absent one from anoth if thou shalt afflict my daughter or if thou shalt take other wive besid my daughter no man with us see god wit betwixt me thee and laban said jacob behold heap behold pillar which i have cast betwixt me thee this heap be wit pillar be wit i will not pass over heap thee thou shalt not pass over heap pillar unto me for harm the god of abraham god of nahor god of their father judg betwixt us and jacob sware by fear of his father isaac then jacob offer sacrific upon mount call his brethren eat bread they did eat bread tarri all,bible-kjv
324,night in mount and earli in morn laban rose up kiss his son his daughter bless them laban depart return unto his place and jacob went on his way angel of god met him and when jacob saw them he said this god s host he call name of place mahanaim and jacob sent messeng befor him esau his brother unto land of seir countri of edom and he command them say thus shall ye speak unto my lord esau thi servant jacob saith thus i have sojourn with laban stay there until now and i have oxen ass flock menserv womenserv i have sent tell my lord i may find grace in thi sight and messeng return jacob say we came thi brother esau also he cometh meet thee four hundr men with him then jacob was great afraid distress he divid peopl was with him flock herd camel,bible-kjv
325,into two band and said if esau come one compani smite then other compani which left shall escap and jacob said o god of my father abraham god of my father isaac lord which saidst unto me return unto thi countri thi kindr i will deal well with thee i am not worthi of least of all merci of all truth which thou hast shew unto thi servant for with my staff i pass over jordan now i am becom two band deliv me i pray thee from hand of my brother from hand of esau for i fear him lest he will come smite me mother with children and thou saidst i will sure do thee good make thi seed as sand of sea which cannot be number for multitud and he lodg there same night took of which came his hand present for esau his brother two hundr,bible-kjv
326,she goat twenti he goat two hundr ewe twenti ram thirti milch camel with their colt forti kine ten bull twenti she ass ten foal and he deliv them into hand of his servant everi drove by themselv said unto his servant pass over befor me put space betwixt drove drove and he command foremost say when esau my brother meeteth thee asketh thee say whose art thou whither goest thou whose are these befor thee then thou shalt say they be thi servant jacob s present sent unto my lord esau behold also he behind us and so command he second third all follow drove say on manner shall ye speak unto esau when ye find him and say ye moreov behold thi servant jacob behind us for he said i will appeas him with present goeth befor me afterward i will see his face peradventur he will accept,bible-kjv
327,of me so went present over befor him himself lodg night in compani and he rose up night took his two wive his two womenserv his eleven son pass over ford jabbok and he took them sent them over brook sent over he had and jacob was left alon there wrestl man with him until break of day and when he saw he prevail not against him he touch hollow of his thigh hollow of jacob s thigh was out of joint as he wrestl with him and he said let me go for day breaketh and he said i will not let thee go except thou bless me and he said unto him what thi name and he said jacob and he said thi name shall be call no more jacob but israel for as princ hast thou power with god with men hast prevail and jacob ask him,bible-kjv
328,said tell me i pray thee thi name and he said wherefor thou dost ask after my name and he bless him there and jacob call name of place peniel for i have seen god face face my life preserv and as he pass over penuel sun rose upon him he halt upon his thigh therefor children of israel eat not of sinew which shrank which upon hollow of thigh unto day becaus he touch hollow of jacob s thigh in sinew shrank and jacob lift up his eye look behold esau came with him four hundr men and he divid children unto leah unto rachel unto two handmaid and he put handmaid their children foremost leah her children after rachel joseph hindermost and he pass over befor them bow himself ground seven time until he came near his brother and esau ran meet him embrac him fell on his,bible-kjv
329,neck kiss him they wept and he lift up his eye saw women children said who are those with thee and he said the children which god hath gracious given thi servant then handmaiden came near they their children they bow themselv and leah also with her children came near bow themselv after came joseph near rachel they bow themselv and he said what meanest thou by all drove which i met and he said these are find grace in sight of my lord and esau said i have enough my brother keep thou hast unto thyself and jacob said nay i pray thee if now i have found grace in thi sight then receiv my present at my hand for therefor i have seen thi face as though i had seen face of god thou wast pleas with me take i pray thee my bless brought thee becaus god,bible-kjv
330,hath dealt gracious with me becaus i have enough and he urg him he took and he said let us take our journey let us go i will go befor thee and he said unto him my lord knoweth children are tender flock herd with young are with me if men should overdr them one day all flock will die let my lord i pray thee pass over befor his servant i will lead on soft accord as cattl goeth befor me children be abl endur until i come unto my lord unto seir and esau said let me now leav with thee some of folk are with me and he said what needeth let me find grace in sight of my lord so esau return day on his way unto seir and jacob journey succoth built him hous made booth for his cattl therefor name of place call succoth,bible-kjv
331,and jacob came shalem citi of shechem which in land of canaan when he came from padanaram pitch his tent befor citi and he bought parcel of field where he had spread his tent at hand of children of hamor shechem s father for hundr piec of money and he erect there altar call eleloheisrael and dinah daughter of leah which she bare unto jacob went out see daughter of land and when shechem son of hamor hivit princ of countri saw her he took her lay with her defil her and his soul clave unto dinah daughter of jacob he love damsel spake kind unto damsel and shechem spake unto his father hamor say get me damsel wife and jacob heard he had defil dinah his daughter now his son were with his cattl in field jacob held his peac until they were come and hamor father of shechem,bible-kjv
332,went out unto jacob commune with him and son of jacob came out of field when they heard men were griev they were veri wroth becaus he had wrought folli in israel in lie with jacob s daughter which thing ought not be done and hamor commune with them say the soul of my son shechem longeth for your daughter i pray you give her him wife and make ye marriag with us give your daughter unto us take our daughter unto you and ye shall dwell with us land shall be befor you dwell trade ye therein get you possess therein and shechem said unto her father unto her brethren let me find grace in your eye what ye shall say unto me i will give ask me never so much dowri gift i will give accord as ye shall say unto me but give me damsel wife and,bible-kjv
333,son of jacob answer shechem hamor his father deceit said becaus he had defil dinah their sister and they said unto them we cannot do thing give our sister one uncircumcis for were reproach unto us but in will we consent unto you if ye will be as we be everi male of you be circumcis then will we give our daughter unto you we will take your daughter us we will dwell with you we will becom one peopl but if ye will not hearken unto us be circumcis then will we take our daughter we will be gone and their word pleas hamor shechem hamor s son and young man defer not do thing becaus he had delight in jacob s daughter he was more honour than all hous of his father and hamor shechem his son came unto gate of their citi commune with men of their,bible-kjv
334,citi say these men are peaceabl with us therefor let them dwell in land trade therein for land behold larg enough for them let us take their daughter us for wive let us give them our daughter onli herein will men consent unto us for dwell with us be one peopl if everi male among us be circumcis as they are circumcis shall not their cattl their substanc everi beast of their s be our s onli let us consent unto them they will dwell with us and unto hamor unto shechem his son hearken all went out of gate of his citi everi male was circumcis all went out of gate of his citi and came pass on third day when they were sore two of son of jacob simeon levi dinah s brethren took each man his sword came upon citi bold slew all male and they slew,bible-kjv
335,hamor shechem his son with edg of sword took dinah out of shechem s hous went out the son of jacob came upon slain spoil citi becaus they had defil their sister they took their sheep their oxen their ass which was in citi which was in field and all their wealth all their littl one their wive took they captiv spoil even all was in hous and jacob said simeon levi ye have troubl me make me stink among inhabit of land among canaanit perizzit i be few in number they shall gather themselv togeth against me slay me i shall be destroy i my hous and they said should he deal with our sister as with harlot and god said unto jacob aris go up bethel dwell there make there altar unto god appear unto thee when thou fleddest from face of esau thi brother then jacob said,bible-kjv
336,unto his household all were with him put away strang god are among you be clean chang your garment and let us aris go up bethel i will make there altar unto god who answer me in day of my distress was with me in way which i went and they gave unto jacob all strang god which were in their hand all their earring which were in their ear jacob hid them under oak which was by shechem and they journey terror of god was upon citi were round about them they did not pursu after son of jacob so jacob came luz which in land of canaan bethel he all peopl were with him and he built there altar call place elbethel becaus there god appear unto him when he fled from face of his brother but deborah rebekah s nurs die she was buri beneath bethel under,bible-kjv
337,oak name of was call allonbachuth and god appear unto jacob again when he came out of padanaram bless him and god said unto him thi name jacob thi name shall not be call ani more jacob but israel shall be thi name he call his name israel and god said unto him i am god almighti be fruit multipli nation compani of nation shall be of thee king shall come out of thi loin and land which i gave abraham isaac thee i will give thi seed after thee will i give land and god went up from him in place where he talk with him and jacob set up pillar in place where he talk with him even pillar of stone he pour drink offer thereon he pour oil thereon and jacob call name of place where god spake with him bethel and they journey from bethel there,bible-kjv
338,was but littl way come ephrath rachel travail she had hard labour and came pass when she was in hard labour midwif said unto her fear not thou shalt have son also and came pass as her soul was in depart for she die she call his name benoni but his father call him benjamin and rachel die was buri in way ephrath which bethlehem and jacob set pillar upon her grave pillar of rachel s grave unto day and israel journey spread his tent beyond tower of edar and came pass when israel dwelt in land reuben went lay with bilhah his father s concubin israel heard now son of jacob were twelv the son of leah reuben jacob s firstborn simeon levi judah issachar zebulun the son of rachel joseph benjamin and son of bilhah rachel s handmaid dan naphtali and son of zilpah leah s handmaid gad,bible-kjv
339,asher these are son of jacob which were born him in padanaram and jacob came unto isaac his father unto mamr unto citi of arbah which hebron where abraham isaac sojourn and day of isaac were hundr fourscor year and isaac gave up ghost die was gather unto his peopl be old full of day his son esau jacob buri him now these are generat of esau who edom esau took his wive of daughter of canaan adah daughter of elon hittit aholibamah daughter of anah daughter of zibeon hivit and bashemath ishmael s daughter sister of nebajoth and adah bare esau eliphaz bashemath bare reuel and aholibamah bare jeush jaalam korah these are son of esau which were born unto him in land of canaan and esau took his wive his son his daughter all person of his hous his cattl all his beast all his substanc which he,bible-kjv
340,had got in land of canaan went into countri from face of his brother jacob for their rich were more than they might dwell togeth land wherein they were stranger could not bear them becaus of their cattl thus dwelt esau in mount seir esau edom and these are generat of esau father of edomit in mount seir these are name of esau s son eliphaz son of adah wife of esau reuel son of bashemath wife of esau and son of eliphaz were teman omar zepho gatam kenaz and timna was concubin eliphaz esau s son she bare eliphaz amalek these were son of adah esau s wife and these are son of reuel nahath zerah shammah mizzah these were son of bashemath esau s wife and these were son of aholibamah daughter of anah daughter of zibeon esau s wife she bare esau jeush jaalam korah these were,bible-kjv
341,duke of son of esau son of eliphaz firstborn son of esau duke teman duke omar duke zepho duke kenaz duke korah duke gatam duke amalek these are duke came of eliphaz in land of edom these were son of adah and these are son of reuel esau s son duke nahath duke zerah duke shammah duke mizzah these are duke came of reuel in land of edom these are son of bashemath esau s wife and these are son of aholibamah esau s wife duke jeush duke jaalam duke korah these were duke came of aholibamah daughter of anah esau s wife these are son of esau who edom these are their duke these are son of seir horit who inhabit land lotan shobal zibeon anah and dishon ezer dishan these are duke of horit children of seir in land of edom and children of lotan were hori hemam,bible-kjv
